ref_date,geography,industry,data_type,value
2020-06-01 00:00:00,Canada,"Total employed, all industries",Seasonally adjusted,17469.3
2020-06-01 00:00:00,Canada,Construction [23],Seasonally adjusted,1404.7
2020-06-01 00:00:00,Canada,Manufacturing [31-33],Seasonally adjusted,1605.2
2020-06-01 00:00:00,Canada,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,2668
2020-06-01 00:00:00,Canada,Transportation and warehousing [48-49],Seasonally adjusted,905.9
2020-06-01 00:00:00,Canada,"Professional, scientific and technical services [54]",Seasonally adjusted,1503.8
2020-06-01 00:00:00,Canada,Health care and social assistance [62],Seasonally adjusted,2387.4
2020-06-01 00:00:00,Canada,Public administration [91],Seasonally adjusted,983
2020-06-01 00:00:00,Ontario,"Total employed, all industries",Seasonally adjusted,6751.4
2020-06-01 00:00:00,Ontario,Construction [23],Seasonally adjusted,531.1
2020-06-01 00:00:00,Ontario,Manufacturing [31-33],Seasonally adjusted,706.9
2020-06-01 00:00:00,Ontario,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,1018.2
2020-06-01 00:00:00,Ontario,Transportation and warehousing [48-49],Seasonally adjusted,336.8
2020-06-01 00:00:00,Ontario,"Professional, scientific and technical services [54]",Seasonally adjusted,656.2
2020-06-01 00:00:00,Ontario,Health care and social assistance [62],Seasonally adjusted,836.7
2020-06-01 00:00:00,Ontario,Public administration [91],Seasonally adjusted,382.3
2020-06-01 00:00:00,Alberta,"Total employed, all industries",Seasonally adjusted,2056.5
2020-06-01 00:00:00,Alberta,Construction [23],Seasonally adjusted,216.7
2020-06-01 00:00:00,Alberta,Manufacturing [31-33],Seasonally adjusted,116.2
2020-06-01 00:00:00,Alberta,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,301.3
2020-06-01 00:00:00,Alberta,Transportation and warehousing [48-49],Seasonally adjusted,113.6
2020-06-01 00:00:00,Alberta,"Professional, scientific and technical services [54]",Seasonally adjusted,164.3
2020-06-01 00:00:00,Alberta,Health care and social assistance [62],Seasonally adjusted,287.1
2020-06-01 00:00:00,Alberta,Public administration [91],Seasonally adjusted,100.3
2020-07-01 00:00:00,Canada,"Total employed, all industries",Seasonally adjusted,17895.5
2020-07-01 00:00:00,Canada,Construction [23],Seasonally adjusted,1401.6
2020-07-01 00:00:00,Canada,Manufacturing [31-33],Seasonally adjusted,1652.8
2020-07-01 00:00:00,Canada,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,2785.2
2020-07-01 00:00:00,Canada,Transportation and warehousing [48-49],Seasonally adjusted,924.4
2020-07-01 00:00:00,Canada,"Professional, scientific and technical services [54]",Seasonally adjusted,1543.5
2020-07-01 00:00:00,Canada,Health care and social assistance [62],Seasonally adjusted,2404.2
2020-07-01 00:00:00,Canada,Public administration [91],Seasonally adjusted,987.3
2020-07-01 00:00:00,Ontario,"Total employed, all industries",Seasonally adjusted,6913.9
2020-07-01 00:00:00,Ontario,Construction [23],Seasonally adjusted,529.4
2020-07-01 00:00:00,Ontario,Manufacturing [31-33],Seasonally adjusted,724.4
2020-07-01 00:00:00,Ontario,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,1069.3
2020-07-01 00:00:00,Ontario,Transportation and warehousing [48-49],Seasonally adjusted,345.4
2020-07-01 00:00:00,Ontario,"Professional, scientific and technical services [54]",Seasonally adjusted,675.7
2020-07-01 00:00:00,Ontario,Health care and social assistance [62],Seasonally adjusted,844.6
2020-07-01 00:00:00,Ontario,Public administration [91],Seasonally adjusted,382.4
2020-07-01 00:00:00,Alberta,"Total employed, all industries",Seasonally adjusted,2117.3
2020-07-01 00:00:00,Alberta,Construction [23],Seasonally adjusted,219.4
2020-07-01 00:00:00,Alberta,Manufacturing [31-33],Seasonally adjusted,119.7
2020-07-01 00:00:00,Alberta,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,318.9
2020-07-01 00:00:00,Alberta,Transportation and warehousing [48-49],Seasonally adjusted,124.9
2020-07-01 00:00:00,Alberta,"Professional, scientific and technical services [54]",Seasonally adjusted,165
2020-07-01 00:00:00,Alberta,Health care and social assistance [62],Seasonally adjusted,285.4
2020-07-01 00:00:00,Alberta,Public administration [91],Seasonally adjusted,100.5
2020-08-01 00:00:00,Canada,"Total employed, all industries",Seasonally adjusted,18129.3
2020-08-01 00:00:00,Canada,Construction [23],Seasonally adjusted,1427.5
2020-08-01 00:00:00,Canada,Manufacturing [31-33],Seasonally adjusted,1686.2
2020-08-01 00:00:00,Canada,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,2814.8
2020-08-01 00:00:00,Canada,Transportation and warehousing [48-49],Seasonally adjusted,922.7
2020-08-01 00:00:00,Canada,"Professional, scientific and technical services [54]",Seasonally adjusted,1565.2
2020-08-01 00:00:00,Canada,Health care and social assistance [62],Seasonally adjusted,2410.9
2020-08-01 00:00:00,Canada,Public administration [91],Seasonally adjusted,996.9
2020-08-01 00:00:00,Ontario,"Total employed, all industries",Seasonally adjusted,7047.5
2020-08-01 00:00:00,Ontario,Construction [23],Seasonally adjusted,533
2020-08-01 00:00:00,Ontario,Manufacturing [31-33],Seasonally adjusted,739.7
2020-08-01 00:00:00,Ontario,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,1077.3
2020-08-01 00:00:00,Ontario,Transportation and warehousing [48-49],Seasonally adjusted,336.5
2020-08-01 00:00:00,Ontario,"Professional, scientific and technical services [54]",Seasonally adjusted,688.4
2020-08-01 00:00:00,Ontario,Health care and social assistance [62],Seasonally adjusted,872.1
2020-08-01 00:00:00,Ontario,Public administration [91],Seasonally adjusted,393.1
2020-08-01 00:00:00,Alberta,"Total employed, all industries",Seasonally adjusted,2126.6
2020-08-01 00:00:00,Alberta,Construction [23],Seasonally adjusted,221.1
2020-08-01 00:00:00,Alberta,Manufacturing [31-33],Seasonally adjusted,118.5
2020-08-01 00:00:00,Alberta,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,319.1
2020-08-01 00:00:00,Alberta,Transportation and warehousing [48-49],Seasonally adjusted,125.1
2020-08-01 00:00:00,Alberta,"Professional, scientific and technical services [54]",Seasonally adjusted,180.9
2020-08-01 00:00:00,Alberta,Health care and social assistance [62],Seasonally adjusted,283.2
2020-08-01 00:00:00,Alberta,Public administration [91],Seasonally adjusted,97.1
2020-09-01 00:00:00,Canada,"Total employed, all industries",Seasonally adjusted,18555.9
2020-09-01 00:00:00,Canada,Construction [23],Seasonally adjusted,1440.8
2020-09-01 00:00:00,Canada,Manufacturing [31-33],Seasonally adjusted,1746.3
2020-09-01 00:00:00,Canada,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,2838.4
2020-09-01 00:00:00,Canada,Transportation and warehousing [48-49],Seasonally adjusted,938.6
2020-09-01 00:00:00,Canada,"Professional, scientific and technical services [54]",Seasonally adjusted,1592.3
2020-09-01 00:00:00,Canada,Health care and social assistance [62],Seasonally adjusted,2437.5
2020-09-01 00:00:00,Canada,Public administration [91],Seasonally adjusted,1007.8
2020-09-01 00:00:00,Ontario,"Total employed, all industries",Seasonally adjusted,7234.2
2020-09-01 00:00:00,Ontario,Construction [23],Seasonally adjusted,532.8
2020-09-01 00:00:00,Ontario,Manufacturing [31-33],Seasonally adjusted,782.1
2020-09-01 00:00:00,Ontario,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,1078.3
2020-09-01 00:00:00,Ontario,Transportation and warehousing [48-49],Seasonally adjusted,336
2020-09-01 00:00:00,Ontario,"Professional, scientific and technical services [54]",Seasonally adjusted,704.8
2020-09-01 00:00:00,Ontario,Health care and social assistance [62],Seasonally adjusted,888.2
2020-09-01 00:00:00,Ontario,Public administration [91],Seasonally adjusted,390
2020-09-01 00:00:00,Alberta,"Total employed, all industries",Seasonally adjusted,2167.2
2020-09-01 00:00:00,Alberta,Construction [23],Seasonally adjusted,224.6
2020-09-01 00:00:00,Alberta,Manufacturing [31-33],Seasonally adjusted,120.7
2020-09-01 00:00:00,Alberta,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,324.8
2020-09-01 00:00:00,Alberta,Transportation and warehousing [48-49],Seasonally adjusted,126.4
2020-09-01 00:00:00,Alberta,"Professional, scientific and technical services [54]",Seasonally adjusted,181.3
2020-09-01 00:00:00,Alberta,Health care and social assistance [62],Seasonally adjusted,278.9
2020-09-01 00:00:00,Alberta,Public administration [91],Seasonally adjusted,104.1
2020-10-01 00:00:00,Canada,"Total employed, all industries",Seasonally adjusted,18616.4
2020-10-01 00:00:00,Canada,Construction [23],Seasonally adjusted,1439.5
2020-10-01 00:00:00,Canada,Manufacturing [31-33],Seasonally adjusted,1745.7
2020-10-01 00:00:00,Canada,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,2862.5
2020-10-01 00:00:00,Canada,Transportation and warehousing [48-49],Seasonally adjusted,926.9
2020-10-01 00:00:00,Canada,"Professional, scientific and technical services [54]",Seasonally adjusted,1628.2
2020-10-01 00:00:00,Canada,Health care and social assistance [62],Seasonally adjusted,2441.6
2020-10-01 00:00:00,Canada,Public administration [91],Seasonally adjusted,1018.7
2020-10-01 00:00:00,Ontario,"Total employed, all industries",Seasonally adjusted,7278.1
2020-10-01 00:00:00,Ontario,Construction [23],Seasonally adjusted,536
2020-10-01 00:00:00,Ontario,Manufacturing [31-33],Seasonally adjusted,785
2020-10-01 00:00:00,Ontario,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,1100.8
2020-10-01 00:00:00,Ontario,Transportation and warehousing [48-49],Seasonally adjusted,321.4
2020-10-01 00:00:00,Ontario,"Professional, scientific and technical services [54]",Seasonally adjusted,731.7
2020-10-01 00:00:00,Ontario,Health care and social assistance [62],Seasonally adjusted,864
2020-10-01 00:00:00,Ontario,Public administration [91],Seasonally adjusted,390.3
2020-10-01 00:00:00,Alberta,"Total employed, all industries",Seasonally adjusted,2183.5
2020-10-01 00:00:00,Alberta,Construction [23],Seasonally adjusted,228.9
2020-10-01 00:00:00,Alberta,Manufacturing [31-33],Seasonally adjusted,125.4
2020-10-01 00:00:00,Alberta,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,326.8
2020-10-01 00:00:00,Alberta,Transportation and warehousing [48-49],Seasonally adjusted,127.2
2020-10-01 00:00:00,Alberta,"Professional, scientific and technical services [54]",Seasonally adjusted,178.6
2020-10-01 00:00:00,Alberta,Health care and social assistance [62],Seasonally adjusted,290.4
2020-10-01 00:00:00,Alberta,Public administration [91],Seasonally adjusted,101.7
2020-11-01 00:00:00,Canada,"Total employed, all industries",Seasonally adjusted,18650
2020-11-01 00:00:00,Canada,Construction [23],Seasonally adjusted,1443.1
2020-11-01 00:00:00,Canada,Manufacturing [31-33],Seasonally adjusted,1748.8
2020-11-01 00:00:00,Canada,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,2883.9
2020-11-01 00:00:00,Canada,Transportation and warehousing [48-49],Seasonally adjusted,958.8
2020-11-01 00:00:00,Canada,"Professional, scientific and technical services [54]",Seasonally adjusted,1619.8
2020-11-01 00:00:00,Canada,Health care and social assistance [62],Seasonally adjusted,2464.3
2020-11-01 00:00:00,Canada,Public administration [91],Seasonally adjusted,1018.4
2020-11-01 00:00:00,Ontario,"Total employed, all industries",Seasonally adjusted,7302.9
2020-11-01 00:00:00,Ontario,Construction [23],Seasonally adjusted,544.7
2020-11-01 00:00:00,Ontario,Manufacturing [31-33],Seasonally adjusted,791.9
2020-11-01 00:00:00,Ontario,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,1110
2020-11-01 00:00:00,Ontario,Transportation and warehousing [48-49],Seasonally adjusted,339.3
2020-11-01 00:00:00,Ontario,"Professional, scientific and technical services [54]",Seasonally adjusted,725.1
2020-11-01 00:00:00,Ontario,Health care and social assistance [62],Seasonally adjusted,881.7
2020-11-01 00:00:00,Ontario,Public administration [91],Seasonally adjusted,385.7
2020-11-01 00:00:00,Alberta,"Total employed, all industries",Seasonally adjusted,2182.8
2020-11-01 00:00:00,Alberta,Construction [23],Seasonally adjusted,223.9
2020-11-01 00:00:00,Alberta,Manufacturing [31-33],Seasonally adjusted,120.8
2020-11-01 00:00:00,Alberta,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,331.3
2020-11-01 00:00:00,Alberta,Transportation and warehousing [48-49],Seasonally adjusted,131.1
2020-11-01 00:00:00,Alberta,"Professional, scientific and technical services [54]",Seasonally adjusted,168.9
2020-11-01 00:00:00,Alberta,Health care and social assistance [62],Seasonally adjusted,293.9
2020-11-01 00:00:00,Alberta,Public administration [91],Seasonally adjusted,100.7
2020-12-01 00:00:00,Canada,"Total employed, all industries",Seasonally adjusted,18591.7
2020-12-01 00:00:00,Canada,Construction [23],Seasonally adjusted,1449.8
2020-12-01 00:00:00,Canada,Manufacturing [31-33],Seasonally adjusted,1764.1
